"Legislator","Party","Degree"
"James Iqbal","MMA",23
"Ali Muhammad Khan","PTI",22
"Ramesh Lal","PPPP",21
"Makhdoom Syed Sami-ul-Hassan Gillani","PTI",17
"Khawaja Muhammad Asif","PML-N",13
"Qadir Khan Mandokhail","PPPP",11
"Mohsin Javed","IND",11
"Naveed Amir","PPPP",10
"Bilal Azhar Kayani","PML-N",9
"Sahibzada Sibghatullah","SIC",6
"Nighat Parveen","PML-N",6
"Syed Rafiullah","PPPP",6
"Sheikh Aftab Ahmed","PML-N",5
"Azam Nazeer Tarar","PML-N",4
"Muhammad Hammad Azhar","PTI",4
"Zaheer-ud-Din Babar Awan","PTI",4
