"Legislator","Party","Eigenvector"
"Riaz Fatyana","PTI",1
"Syed Fakhar Imam","PTI",0.956692
"Amjid Ali Khan","PTI",0.735459
"Mian Najibuddin Awaisi","PML-N",0.431925
"Nafeesa Inayatullah Khan Khattak","PTI",0.011554
"Mohsin Javed","IND",0.007631
"Syed Naveed Qamar","PPPP",0.005591
"Mohsin Shah Nawaz Ranjha","PML-N",0.005482
"Ali Nawaz Awan","PTI",0.00506
"Uzma Riaz","PTI",0.00459
"Sadaqat Ali Khan","PTI",0.004555
"Raja Khurram Shahzad Nawaz","PTI",0.004255
"Haider Ali","PTI",0.003975
"Mehnaz Akber Aziz","PML-N",0.003017
"Noor Alam Khan","PTI",0.002454
"Asad Umar","PTI",0.002219
"Imran Khattak","PTI",0.001905
"Muhammad Sana Ullah Khan Masti Khel","PTI",0.001686
"Nooreen Farooq Khan","PTI",0.00166
"Rana Iradat Sharif Khan","PML-N",0.001619
"Muhammad Ibrahim Khan","PTI",0.001604
"Sardar Muhammad Irfan Dogar","PML-N",0.001594
"Rai Muhammad Murtaza Iqbal","PTI",0.001593
"Dr. Muhammad Afzal Khan Dhandla","PTI",0.001584
"Syed Sajid Mehdi","PML-N",0.001581
"Ch. Muhammad Ashraf","PML-N",0.00158
"Malik Nawab Sher Waseer","PTI",0.001573
"Makhdoom Syed Sami-ul-Hassan Gillani","PTI",0.001572
"Ch. Iftikhar Nazir","PML-N",0.001572
"Haji Imtiaz Ahmed Choudhary","PTI",0.001572
"Malik Karamat Ali","PTI",0.001572
"Moulana Abdul Akbar Chitrali","MMA",0.001272
"Asma Hadeed","PTI",0.000984
"James Iqbal","MMA",0.000918
"Shazia Marri","PPPP",0.000872
"Marriyum Aurangzeb","PML-N",0.000851
"Romina Khurshid Alam","PML-N",0.000823
"Sher Akbar Khan","JI",0.00082
"Sher Ali Arbab","PTI",0.000817
"Aamer Mehmood Kiyani","PTI",0.000812
"Naz Baloch","PPPP",0.000802
"Rana Tanveer Hussain","PML-N",0.000732
"Ahsan Iqbal","PML-N",0.000716
"Murtaza Javed Abbasi","PML-N",0.000712
"Afreen Khan","MMA",0.000702
"Muhammad Sajjad","PML-N",7e-04
"Imran Khan","PTI",0.00062
"Abdul Qadir Patel","PPPP",0.000596
"Rana Sana Ullah Khan","PML-N",0.000513
"Abdul Rehman Khan Kanju","PML-N",0.00035
"Kishwer Zehra","MQM",0.000335
"Iqbal Muhammad Ali Khan","MQM",0.000311
"Usama Qadri","MQM",0.000294
"Raja Pervez Ashraf","PPPP",0.000271
"Salah-ud-Din","MQM",0.000217
"Khurram Dastgir Khan","PML-N",0.000172
"Ali Khan Jadoon","PTI",0.000167
"Engineer Sabir Hussain","MQM",0.00016
"Khawaja Muhammad Asif","PML-N",0.000137
"Shahid Khaqan Abbasi","PML-N",0.000136
"Khawaja Saad Rafique","PML-N",0.00013
"Shandana Gulzar Khan","PTI",0.00013
"Farrukh Khan","PML",0.000122
"Muhammad Akram","PTI",0.000116
"Raja Riaz Ahmad","PTI",0.000116
"Tahira Aurangzeb","PML-N",0.000111
"Rana Muhammad Qasim Noon","PTI",0.000106
"Syed Amin ul Haque","MQM",0.000103
"Ms. Nafisa Shah","PPPP",1e-04
"Shaista Pervaiz","PML-N",9.1e-05
"Saleh Muhammad","PTI",8.8e-05
"Malik Muhammad Aamir Dogar","IND",8.7e-05
"Khalid Hussain Magsi","BAP",8.7e-05
"Aftab Jehangir","PTI",8.5e-05
"Salah Ud Din Ayubi","MMA",7.8e-05
"Mrs. Aliya Kamran","MMA",7.7e-05
"Prince Muhammad Nawaz Allai","PTI",7.3e-05
"Shahida Akhtar Ali","JUI",7e-05
"Shaza Fatima Khawaja","PML-N",6.8e-05
"Zille Huma","PTI",5.4e-05
"Sardar Ayaz Sadiq","PML-N",4.9e-05
"Faheem Khan","PTI",4.6e-05
"Atta Ullah","PTI",4.6e-05
"Dr. Seemin Abdul Rehman Bokhari","PTI",4.5e-05
"Munaza Hassan","PTI",3.8e-05
"Fauzia Behram","PTI",3.8e-05
"Dr. Shireen Mehrunnisa Mazari","PTI",3.7e-05
"Dr. Arif Alvi","PTI",3.6e-05
"Nuzhat Pathan","PTI",3.4e-05
"Dr. Nikhat Shakeel Khan","MQM",3.1e-05
"Agha Hassan Baloch","BNP-M",3.1e-05
"Sardar Akhter Jan Mengal","BNP-M",3e-05
"Samina Matloob","PML-N",2.9e-05
"Seema Mohiuddin Jameeli","PML-N",2.9e-05
"Zahra Wadood Fatemi","PML-N",2.8e-05
"Syed Iftikhar Ul Hassan","PML-N",2.7e-05
"Rana Mubashir lqbal","PML-N",2.7e-05
"Shunila Ruth","PTI",2.7e-05
"Rahat Aman Ullah Bhatti","PTI",2.6e-05
"Shaheen Naz Saifullah","PTI",2.6e-05
"Muhammad Muzammil Qureshi","MQM",2.4e-05
"Shaikh Salahuddin","MQM",2.3e-05
"Amirullah","PTI",2.3e-05
"Rai Hasan Nawaz Khan","PTI",2.3e-05
"Saman Sultana Jafri","MQM",2.2e-05
"Sahibzada Tariq Ullah","JI",2.2e-05
"S. A. Iqbal Qadri","MQM",2.1e-05
"Ali Muhammad Khan","PTI",2.1e-05
"Dr. Khalid Maqbool Siddiqui","MQM",2.1e-05
"Aisha Syed","JI",2.1e-05
"Sahib Zada Muhammad Yaqub","JI",2.1e-05
"Choudhary Faqir Ahmad","PML-N",2.1e-05
"Qaisar Jamal","PTI",2.1e-05
"Aqibullah","PTI",2e-05
"Mrs. Shahida Rehmani","PPPP",1.9e-05
"Kiran Imran","PML-N",1.9e-05
"Rao Muhammad Ajmal Khan","PML-N",1.9e-05
